timestamp,used_mb,percent
2026-06-18T06:01:01,623.7,3.9
2026-06-18T06:01:06,624.7,3.9
2026-06-18T06:01:11,615.9,3.8
2026-06-18T06:01:16,615.0,3.8
2026-06-18T06:01:21,624.3,3.9
2026-06-18T06:01:26,619.4,3.9
2026-06-18T06:01:26,619.4,3.9
2026-06-18T06:01:31,619.4,3.9
2026-06-18T06:02:14,611.6,3.8
2026-06-18T06:02:19,610.3,3.8
2026-06-18T06:02:24,608.3,3.8
2026-06-18T06:02:29,607.4,3.8
2026-06-18T06:02:34,607.4,3.8
2026-06-18T06:02:39,611.5,3.8
2026-06-18T06:02:39,611.5,3.8
2026-06-18T06:02:44,611.5,3.8
2026-06-18T06:02:49,611.5,3.8
2026-06-18T06:02:54,614.1,3.8
2026-06-18T06:02:59,615.8,3.8
2026-06-18T06:03:04,612.2,3.8
2026-06-18T06:03:04,612.2,3.8
2026-06-18T06:03:09,609.5,3.8
2026-06-18T06:03:14,609.5,3.8
2026-06-18T06:03:19,610.0,3.8
2026-06-18T06:03:24,612.3,3.8
2026-06-18T06:03:29,612.5,3.8
2026-06-18T06:03:29,612.5,3.8
2026-06-18T06:03:34,617.4,3.8
2026-06-18T06:03:39,620.6,3.9
2026-06-18T06:03:44,632.9,3.9
2026-06-18T06:03:49,633.1,3.9
2026-06-18T06:03:54,633.1,3.9
2026-06-18T06:03:54,633.1,3.9
2026-06-18T06:03:59,625.9,3.9
2026-06-18T06:04:04,626.6,3.9
2026-06-18T06:04:09,626.6,3.9
2026-06-18T06:04:14,626.6,3.9
2026-06-18T06:04:19,626.6,3.9
2026-06-18T06:04:19,626.6,3.9
2026-06-18T06:04:24,626.6,3.9
2026-06-18T06:04:29,626.6,3.9
2026-06-18T06:04:34,627.6,3.9
2026-06-18T06:04:39,627.6,3.9
2026-06-18T06:04:44,619.1,3.9
2026-06-18T06:04:44,619.1,3.9
2026-06-18T06:04:49,619.1,3.9
2026-06-18T06:04:54,619.1,3.9
2026-06-18T06:04:59,619.1,3.9
2026-06-18T06:05:04,619.1,3.9
2026-06-18T06:05:09,619.1,3.9
2026-06-18T06:05:09,619.1,3.9
2026-06-18T06:05:14,619.1,3.9
2026-06-18T06:05:19,619.1,3.9
2026-06-18T06:05:24,619.1,3.9
2026-06-18T06:05:29,619.1,3.9
2026-06-18T06:05:34,619.1,3.9
2026-06-18T06:05:34,619.1,3.9
2026-06-18T06:05:39,619.1,3.9
2026-06-18T06:05:44,619.1,3.9
2026-06-18T06:05:49,619.1,3.9
2026-06-18T06:05:54,619.1,3.9
2026-06-18T06:05:59,619.1,3.9
2026-06-18T06:05:59,619.1,3.9
2026-06-18T06:06:04,620.8,3.9
2026-06-18T06:06:09,620.8,3.9
2026-06-18T06:06:14,620.8,3.9
2026-06-18T06:06:19,620.8,3.9
2026-06-18T06:06:24,620.8,3.9
2026-06-18T06:06:24,620.8,3.9
2026-06-18T06:06:29,620.8,3.9
2026-06-18T06:06:34,620.8,3.9
2026-06-18T06:06:39,620.8,3.9
2026-06-18T06:06:44,620.8,3.9
2026-06-18T06:06:49,620.8,3.9
2026-06-18T06:06:49,620.8,3.9
2026-06-18T06:06:54,620.8,3.9
2026-06-18T06:06:59,620.8,3.9
2026-06-18T06:07:04,620.8,3.9
2026-06-18T06:07:09,620.8,3.9
2026-06-18T06:07:14,620.8,3.9
2026-06-18T06:07:14,620.8,3.9
2026-06-18T06:07:19,620.8,3.9
2026-06-18T06:07:24,620.8,3.9
2026-06-18T06:07:29,620.8,3.9
2026-06-18T06:07:34,620.8,3.9
2026-06-18T06:07:39,620.8,3.9
2026-06-18T06:07:39,620.8,3.9
2026-06-18T06:07:44,620.8,3.9
2026-06-18T06:07:49,620.8,3.9
2026-06-18T06:07:54,620.8,3.9
2026-06-18T06:07:59,620.8,3.9
2026-06-18T06:08:04,620.8,3.9
2026-06-18T06:08:04,620.8,3.9
2026-06-18T06:08:09,620.8,3.9
2026-06-18T06:08:14,620.8,3.9
2026-06-18T06:08:19,620.8,3.9
2026-06-18T06:08:24,620.8,3.9
2026-06-18T06:08:29,620.8,3.9
2026-06-18T06:08:29,620.8,3.9
2026-06-18T06:08:34,620.6,3.9
2026-06-18T06:08:39,620.6,3.9
2026-06-18T06:08:44,618.9,3.9
2026-06-18T06:08:49,625.3,3.9
2026-06-18T06:08:54,623.5,3.9
2026-06-18T06:08:54,623.5,3.9
2026-06-18T06:08:59,631.4,3.9
2026-06-18T06:09:04,624.8,3.9
2026-06-18T06:09:09,624.8,3.9
